id,date,transaction_amount
1,2025-01-01,245.50
2,2025-01-02,312.00
3,2025-01-03,198.75
4,2025-01-04,267.30
5,2025-01-05,289.10
6,2025-01-06,301.40
7,2025-01-07,255.90
8,2025-01-08,278.60
9,2025-01-09,310.25
10,2025-01-10,230.80
11,2025-01-11,295.50
12,2025-01-12,262.40
13,2025-01-13,288.70
14,2025-01-14,275.90
15,2025-01-15,305.30
16,2025-01-16,241.60
17,2025-01-17,318.20
18,2025-01-18,260.10
19,2025-01-19,282.90
20,2025-01-20,299.40
21,2025-01-21,253.70
22,2025-01-22,271.50
23,2025-01-23,308.60
24,2025-01-24,265.30
25,2025-01-25,291.80
26,2025-01-26,247.90
27,2025-01-27,303.40
28,2025-01-28,279.10
29,2025-01-29,257.60
30,2025-01-30,286.20
31,2025-01-31,294.70
32,2025-02-01,310.50
33,2025-02-02,268.30
34,2025-02-03,245.90
35,2025-02-04,302.70
36,2025-02-05,277.40
37,2025-02-06,263.80
38,2025-02-07,291.50
39,2025-02-08,284.20
40,2025-02-09,299.60
41,2025-02-10,251.30
42,2025-02-11,273.90
43,2025-02-12,306.80
44,2025-02-13,259.40
45,2025-02-14,287.70
46,2025-02-15,270.50
47,2025-02-16,296.30
48,2025-02-17,282.10
49,2025-02-18,264.60
50,2025-02-19,290.40
